SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	3	-14.553292	-40.267813000000004	2020-07-25
Turdus flavipes	1	-16.496476	-39.070170000000005	2020-07-18
Turdus flavipes	1	-14.617842999999999	-40.3354055	2020-08-22
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-09-04
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-09-03
Turdus flavipes	1	-14.6729468	-40.1566628	2020-09-16
Turdus flavipes	4	-15.391956299999999	-39.5644283	2020-09-03
Turdus flavipes	1	-14.617842999999999	-40.3354055	2020-09-26
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-09-04
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-09-04
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-09-03
Turdus flavipes	2	-14.436754999999998	-40.079577	2020-10-17
Turdus flavipes	1	-14.661197400000002	-40.1415893	2020-10-14
Turdus flavipes	1	-14.6729468	-40.1566628	2020-10-10
Turdus flavipes	6	-14.671813	-40.153129	2020-10-16
Turdus flavipes	1	-14.661197400000002	-40.1415893	2020-10-16
Turdus flavipes	2	-14.553292	-40.267813000000004	2020-10-11
Turdus flavipes	2	-14.378254	-40.146491	2020-12-13
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-12-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-12-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-12-08
Turdus flavipes	1	-13.8871342	-38.943185799999995	2020-12-31
Turdus flavipes	1	-13.8871342	-38.943185799999995	2021-01-01
Turdus flavipes	1	-14.075839000000002	-38.962327	2021-02-03
Turdus flavipes	1	-19.1504872	-40.0681686	1990-07-02
Turdus flavipes	1	-19.1504872	-40.0681686	1990-07-02
Turdus flavipes	1	-19.1504872	-40.0681686	1990-07-06
Turdus flavipes	1	-19.1504872	-40.0681686	1990-07-06
Turdus flavipes	2	-19.016682100000004	-40.089454700000005	1990-09-08
Turdus flavipes	6	-19.9073081	-40.5531549	1990-09-04
Turdus flavipes	1	-19.9073081	-40.5531549	1994-07-23
Turdus flavipes	4	-19.923003899999998	-40.586586	1995-01-22
Turdus flavipes	1	-19.9073081	-40.5531549	1998-02-06
Turdus flavipes	1	-19.9361692	-40.59967520000001	1999-07-25
Turdus flavipes	1	-19.9073081	-40.5531549	2000-08-05
Turdus flavipes	1	-19.9073081	-40.5531549	2000-08-07
Turdus flavipes	1	-19.9073081	-40.5531549	2000-08-06
Turdus flavipes	1	-20.356	-41.274	2000-11-04
Turdus flavipes	1	-19.9073081	-40.5531549	2001-11-12
Turdus flavipes	3	-20.540221399999997	-41.7418671	2001-11-08
Turdus flavipes	1	-20.3484093	-41.2779093	2002-11-03
Turdus flavipes	10	-20.2678069	-41.29061289999999	2003-08-30
Turdus flavipes	3	-20.6722992	-41.0792542	2003-11-01
Turdus flavipes	3	-20.6722992	-41.0792542	2003-11-01
Turdus flavipes	1	-20.6722992	-41.0792542	2003-11-02
Turdus flavipes	1	-20.6722992	-41.0792542	2003-11-02
Turdus flavipes	1	-19.9073081	-40.5531549	2004-07-31
Turdus flavipes	1	-19.9073081	-40.5531549	2004-07-31
Turdus flavipes	2	-20.49277	-41.02675	2005-10-18
Turdus flavipes	1	-20.49277	-41.02675	2005-10-17
Turdus flavipes	1	-19.9073081	-40.5531549	2007-06-23
Turdus flavipes	1	-19.9073081	-40.5531549	2007-06-22
Turdus flavipes	1	-19.9073081	-40.5531549	2007-06-24
Turdus flavipes	1	-19.1504872	-40.0681686	2009-07-06
Turdus flavipes	1	-19.1504872	-40.0681686	2009-07-06
Turdus flavipes	1	-18.4082021	-39.6980882	2010-03-15
Turdus flavipes	1	-20.478130899999996	-41.6731901	2010-10-25
Turdus flavipes	1	-20.49277	-41.02675	2011-10-28
Turdus flavipes	3	-20.4350559	-41.037454600000004	2012-11-05
Turdus flavipes	1	-20.496491600000002	-40.9899902	2013-11-04
Turdus flavipes	1	-20.4057251	-41.0523655	2013-11-07
Turdus flavipes	1	-20.496491600000002	-40.9899902	2013-11-05
Turdus flavipes	1	-20.5638945	-40.8208746	2014-03-07
Turdus flavipes	1	-20.571090100000003	-41.7987296	2014-08-27
Turdus flavipes	1	-20.400252899999998	-41.019199799999996	2014-09-07
Turdus flavipes	1	-20.684910000000002	-41.8409133	2014-09-24
Turdus flavipes	1	-20.467	-41.0036	2014-10-19
Turdus flavipes	1	-20.467	-41.0036	2014-10-19
Turdus flavipes	2	-20.49277	-41.02675	2014-11-02
Turdus flavipes	1	-20.6726204	-41.013293299999994	2014-11-06
Turdus flavipes	12	-20.49277	-41.02675	2015-02-04
Turdus flavipes	12	-20.490559	-41.036537	2015-02-04
Turdus flavipes	2	-19.1504872	-40.0681686	2015-04-24
Turdus flavipes	1	-20.49277	-41.02675	2015-04-16
Turdus flavipes	1	-19.380947	-40.06884	2015-04-19
Turdus flavipes	1	-19.94418	-40.56024	2015-05-24
Turdus flavipes	1	-20.520899	-40.571647999999996	2015-05-09
Turdus flavipes	1	-19.647437600000003	-39.8282933	2015-05-09
Turdus flavipes	1	-20.4899868	-41.009301799999996	2015-05-09
Turdus flavipes	1	-19.647437600000003	-39.8282933	2015-05-09
Turdus flavipes	1	-19.9073081	-40.5531549	2015-05-09
Turdus flavipes	1	-20.062808999999998	-40.96839	2015-05-09
Turdus flavipes	2	-19.016682100000004	-40.089454700000005	2015-06-04
Turdus flavipes	1	-19.136847	-40.061527000000005	2015-10-29
Turdus flavipes	2	-20.521145	-40.569639	2015-10-10
